1;"Le sage ne joue jamais à saute-mouton avec une licorne.";"Proverbe tibétain";12/03/2018 15:24:26;14
2;"Ne te crois pas pauvre parce que tes rêves ne se sont pas réalisés. Vraiment pauvre est celui qui ne connaît pas le rêve !";"Marie Von Ebner-Eschenbach";12/03/2018 15:03:33;8
3;"Il ne suffit pas d'avoir de l'esprit. Il faut en avoir assez pour s'abstenir d'en avoir trop.";"André Maurois";12/03/2018 15:04:06;15
4;"Le monde est si vide si l'on n'y imagine que montagnes, fleuves et villes, mais d'y savoir quelqu'un avec qui l'on s'entend, avec qui l'on peut vivre en silence, c'est ce qui fait de ce globe un jardin habité.";"Goethe";12/03/2018 15:03:33;4
5;"L'amour seul connaît le secret de s'enrichir en donnant.";"Clemens Brentano";12/03/2018 15:24:23;18
6;"C'est un amour bien pauvre, celui que l'on peut calculer.";"William Shakespeare";12/03/2018 15:24:16;15
7;"Les fautes sont grandes quand l'amour est petit.";"Proverbe italien";12/03/2018 15:23:38;17
8;"Qu'un ami véritable est une douce chose, il cherche vos besoins au fond de votre coeur, il vous épargne la pudeur de les lui découvrir vous-même.";"Jean De La Fontaine";12/03/2018 18:00:00;12
9;"On voit qu'un ami est sûr quand notre situation ne l'est pas.";"Cicéron";12/03/2018 15:03:03;5
10;"On n'est jamais puni pour avoir fait mourir de rire.";"Proverbe chinois";12/03/2018 15:23:37;10
11;"Les miroirs feraient bien de réfléchir avant de renvoyer les images.";"Jean Cocteau";12/03/2018 17:59:59;9
12;"Ce que les hommes appellent communément leur destin, ce ne sont souvent que leurs propres bêtises.";"Arthur Shopenhauer";12/03/2018 15:22:43;9
13;"Si vous menez un âne loin, et même à la Mecque, il n'en reviendra jamais qu'un âne.";"Proverbe turc";12/03/2018 15:03:11;5
14;"La vraie sagesse de la vie consiste à voir l'extraordinaire dans l'ordinaire.";"Pearl Buck";12/03/2018 15:24:27;20
15;"Le bonheur ne se trouve pas toujours dans un ciel éternellement bleu, mais aussi dans les choses les plus simples de la vie.";"Carmen Sylva";12/03/2018 15:22:42;11
16;"La barbe ne fait pas le philosophe.";"Lucien";12/03/2018 15:24:30;19
17;"Le singe est toujours singe fut-il vêtu de pourpre.";"Sagesse grecque";12/03/2018 17:58:24;12
18;"Qui parle sème, qui écoute récolte.";"Sagesse persane";12/03/2018 15:22:03;19
19;"Qui donne ne doit jamais s'en souvenir, qui reçoit ne doit jamais l'oublier.";"Sentences et proverbes Rabbins";12/03/2018 17:49:29;9
20;"Au milieu des épines, la rose reste la rose.";"Proverbe grec";12/03/2018 15:16:32;15
21;"Connaître les autres, c'est sagesse. Se connaître soi-même, c'est sagesse supérieure. Imposer sa volonté aux autres, c'est force. Se l'imposer à soi-même, c'est force supérieure.";"Lao-Tseu";12/03/2018 15:03:27;13
22;"Notre seule véritable liberté consiste à découvrir et à dégager la réalité spirituelle qui est en nous.";"Shri Aurobindo";12/03/2018 16:50:54;10
23;"Rappelez-vous bien mes enfants, qu'il n'existe rien de constant si ce n'est le changement.";"Bouddha";12/03/2018 15:24:30;10
24;"Le trop de quelque chose est un manque de quelque chose.";"Sagesse arabe";12/03/2018 15:23:36;17
25;"Suis ton coeur pour que ton visage rayonne durant le temps de ta vie.";"Sagesse égyptienne";12/03/2018 15:03:00;12
26;"Seul l'ignorant se fâche, le sage comprend.";"Sagesse hindoue";12/03/2018 15:03:26;10
27;"Grand est celui qui n'a pas perdu son coeur d'enfant.";"Mencius";12/03/2018 15:24:28;10
28;"Ce ne sont pas ceux qui savent le mieux parler qui ont les meilleures choses à dire.";"Sagesse chinoise";12/03/2018 15:24:28;10
29;"Chaque brin d'herbe a sa part de rosée.";"Sagesse chinoise";12/03/2018 15:03:07;7
30;"Mieux vaut allumer une chandelle que de maudire l'obscurité.";"Sagesse chinoise";12/03/2018 15:08:42;14
31;"Dans les débuts d'une aventure, la bouffe prépare la baise, sur la fin elle la remplace.";"Frédéric Dard";12/03/2018 15:24:28;16
32;"L'archer a un point commun avec le Sage : quand sa flèche n'atteint pas sa cible, il cherche la cause en lui-même.";"Confucius";12/03/2018 15:03:02;6
33;"La beauté des choses naît seulement dans l'esprit de celui qui les contemple.";"";12/03/2018 17:58:22;17
34;"L'obstination de la mouche à se porter toujours à l'assaut de la même paroi de verre, alors que la sortie de secours et par conséquent la liberté se trouve derrière elle, doit nous donner à réfléchir.";"René Zuber";12/03/2018 15:24:26;21
35;"Un changement dans la société ne peut être amené que par un changement en l'homme.";"";12/03/2018 16:50:55;11
36;"Seule l'éducation de la relativité mêne à la tolérance.";"";12/03/2018 15:22:42;21
37;"Quand on ne parle pas des choses avec une partialité pleine d'amour, ce qu'on en dit ne vaut pas la peine d'être rapporté.";"Goethe";12/03/2018 17:49:27;11
38;"Il ne faut pas vendre la peau de l'ours ... NON ! il ne faut pas la vendre.";"";12/03/2018 15:24:18;6
39;"Les feuilles accompagnent le murmure du ruisseau d'un mouvant silence.";"";12/03/2018 15:24:25;8
40;"La voie des hommes est différente de la Voie du Ciel : ils enlèvent à ceux qui n'ont pas pour donner à ceux qui ont tout.";"Lao-Tseu";12/03/2018 15:23:30;13
41;"Le boeuf est lent, mais la terre est patiente.";"";12/03/2018 15:03:31;11
42;"Quand le doigt montre la lune, l'imbécile regarde le doigt.";"Confucius";12/03/2018 15:22:42;8
43;"Si tu donnes un poisson à un homme, il mangera un jour. Si tu lui apprends à pêcher, il mangera toujours.";"Lao-Tseu";12/03/2018 17:58:23;14
44;"Trop est pire que peu.";"Proverbe japonais";12/03/2018 15:03:10;14
45;"Un voyage de mille kilomètres commence toujours par un premier pas.";"Lao-Tseu";12/03/2018 15:24:25;9
46;"Tout a été dit, mais comme personne n'écoute, il faut toujours répéter.";"André Gide";12/03/2018 15:24:28;15
